coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	1
83	1
84	4
85	15
86	4
87	7
88	2
89	3
90	2
91	1
92	5
93	1
94	3
95	6
96	6
97	10
98	7
99	4
100	9
101	3
102	8
103	15
104	25
105	15
106	13
107	11
108	5
109	11
110	6
111	7
112	8
113	7
114	17
115	16
116	13
117	9
118	6
119	7
120	0
121	6
122	7
123	3
124	4
125	2
126	1
127	4
128	0
129	2
130	4
131	2
132	3
133	3
134	3
135	0
136	1
137	3
138	1
139	7
140	14
141	12
142	4
143	4
144	7
145	9
146	7
147	8
148	15
149	10
150	15
151	16
152	18
153	10
154	8
155	11
156	21
157	11
158	16
159	24
160	16
161	15
162	13
163	9
164	14
165	6
166	11
167	16
168	19
169	12
170	11
171	8
172	4
173	13
174	14
175	9
176	10
177	18
178	19
179	13
180	11
181	10
182	17
183	7
184	15
185	21
186	27
187	18
188	12
189	21
190	11
191	7
192	16
193	14
194	6
195	5
196	15
197	15
198	19
199	12
200	17
201	18
202	12
203	14
204	15
205	11
206	8
207	8
208	9
209	7
210	9
211	4
212	10
213	6
214	7
215	9
216	6
217	10
218	7
219	13
220	7
221	7
222	2
223	1
224	4
225	4
226	1
227	4
228	1
229	5
230	0
231	2
232	2
233	3
234	1
