coverage	n
1	0
2	2
3	4
4	13
5	29
6	137
7	91
8	94
9	124
10	197
11	307
12	436
13	547
14	910
15	1072
16	1566
17	1943
18	2527
19	3211
20	4226
21	5224
22	6432
23	7194
24	8170
25	8941
26	10197
27	10532
28	11295
29	11601
30	11897
31	11742
32	11583
33	10591
34	10055
35	9501
36	9304
37	8442
38	7558
39	6901
40	5964
41	5348
42	4737
43	4077
44	2971
45	2575
46	2142
47	1910
48	1568
49	1211
50	962
51	744
52	674
53	512
54	419
55	289
56	194
57	148
58	113
59	111
60	56
61	57
62	41
63	28
64	10
65	22
66	2
67	7
68	2
