coverage	n
1	0
2	0
3	0
4	5
5	0
6	0
7	0
8	3
9	4
10	16
11	61
12	42
13	142
14	176
15	322
16	440
17	494
18	618
19	983
20	1226
21	1565
22	1815
23	2121
24	2060
25	2469
26	2736
27	2964
28	2869
29	2884
30	2657
31	2683
32	2736
33	2684
34	2409
35	2154
36	2039
37	1869
38	1826
39	1709
40	1606
41	1399
42	1209
43	893
44	782
45	745
46	646
47	490
48	481
49	383
50	357
51	269
52	186
53	135
54	104
55	121
56	80
57	96
58	72
59	63
60	49
61	16
62	23
63	24
64	23
65	29
66	15
67	3
68	8
69	6
70	9
71	1
72	3
73	0
74	1
75	2
76	2
77	2
