coverage	n
1	27
2	0
3	4
4	1
5	4
6	9
7	48
8	80
9	98
10	177
11	264
12	360
13	388
14	443
15	650
16	803
17	968
18	1368
19	1843
20	2384
21	2521
22	2920
23	3185
24	3400
25	3500
26	3842
27	4176
28	4341
29	4324
30	4322
31	4188
32	4316
33	3817
34	3650
35	3451
36	2930
37	2501
38	2291
39	1869
40	1683
41	1433
42	1224
43	1089
44	845
45	703
46	651
47	481
48	446
49	278
50	224
51	183
52	116
53	80
54	69
55	42
56	48
57	51
58	34
59	15
60	2
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	1
236	1
237	4
238	2
239	0
240	0
241	1
242	0
243	0
244	1
245	1
246	1
247	1
248	1
249	0
250	0
251	0
252	0
253	0
254	1
255	1
256	0
257	0
258	1
259	0
260	1
261	2
262	0
263	0
264	0
265	1
266	0
267	0
268	0
269	0
270	0
271	0
272	1
273	2
274	5
275	2
276	1
277	5
278	3
279	7
280	3
281	2
282	1
283	6
284	6
285	1
286	3
287	1
288	3
289	2
290	2
291	0
292	2
293	1
294	0
295	0
296	1
297	3
298	2
299	1
300	2
301	2
302	1
303	5
304	3
305	2
306	2
307	0
308	0
309	2
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	3
337	1
338	1
339	1
340	0
341	0
342	0
343	0
344	0
345	0
346	1
