unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
0	1	0	0	0	0	nan	1
0	1	0	0	0	0	-2.95229	2
0	1	0	0	0	0	-2.7002	3
0	1	0	0	0	0	-3.01466	4
0	2	0	0.333333	0	1	-3.01466	5
0	2	0	0.333333	0	1	-3.01466	6
0	2	0	0.333333	0	1	-2.95229	7
0	2	0	0.333333	0	1	-3.01466	8
0	2	0	0.333333	0	1	-3.01466	9
0	2	0	0.333333	0	1	-3.01466	10
0	2	0	0.333333	0	1	-2.95229	11
0	3	0	0.333333	0	1	0.921339	12
0	3	0	0.333333	0	1	0.812192	13
0	3	0	0.333333	0	1	0.812192	14
1	3	0	0.333333	0	1	0.921339	15
1	3	0	0.333333	0	1	0.921339	16
1	3	0	0.333333	0	1	8.56688	17
1	3	0	0.333333	0	1	8.56688	18
1	3	0	0.333333	0	1	8.02808	19
2	3	0	0.333333	0	1	8.56688	20
2	3	0	0.333333	0	1	10.3845	21
3	3	0	0.333333	0	1	10.9385	22
3	3	0	0.333333	0	1	15.1112	23
3	3	0	0.333333	0	1	12.2335	24
3	3	0	0.333333	0	1	15.0137	25
3	3	0	0.333333	0	1	14.8422	26
3	3	0	0.333333	0	1	14.8422	27
3	3	0	0.333333	0	1	12.6459	28
4	3	0	0.333333	0	1	14.6837	29
6	3	0	0.333333	0	1	19.0389	30
6	3	0	0.333333	0	1	18.4174	31
6	3	0	0.333333	0	1	23.6061	32
6	3	0	0.333333	0	1	25.1008	33
6	3	0	0.333333	0	1	24.1624	34
6	3	0	0.333333	0	1	21.8318	35
6	4	0	0.333333	0	1	23.6061	36
6	4	0	0.333333	0	1	27.3757	37
6	4	0	0.333333	0	1	26.252	38
6	4	0	0.333333	0	1	28.5608	39
6	4	0	0.333333	0	1	27.2805	40
6	4	0	0.333333	0	1	30.4148	41
6	4	0	0.333333	0	1	30.8228	42
6	4	0	0.333333	0	1	28.1452	43
7	4	0	0.333333	0	1	26.7768	44
7	4	0	0.333333	0	1	28.7087	45
8	4	0	0.333333	0	1	28.6356	46
8	4	0	0.333333	0	1	29.5984	47
8	4	0	0.333333	0	1	30.3885	48
8	4	0	0.333333	0	1	36.6757	49
8	4	0	0.333333	0	1	36.2975	50
8	4	0	0.333333	0	1	35.3673	51
8	4	0	0.333333	0	1	35.0861	52
8	4	0	0.333333	0	1	34.5032	53
9	4	0	0.333333	0	1	35.3353	54
9	4	0	0.333333	0	1	36.4774	55
9	4	0	0.333333	0	1	32.9875	56
9	4	0	0.333333	0	1	36.102	57
10	4	0	0.333333	0	1	37.3766	58
10	4	0	0.333333	0	1	43.2026	59
10	4	0	0.333333	0	1	37.6461	60
10	4	0	0.333333	0	1	45.6824	61
10	4	0	0.333333	0	1	40.0777	62
10	4	0	0.333333	0	1	46.129	63
10	4	0	0.333333	0	1	37.8735	64
10	4	0	0.333333	0	1	41.6978	65
10	4	0	0.333333	0	1	39.8849	66
10	4	0	0.333333	0	1	38.2539	67
10	4	0	0.333333	0	1	43.0305	68
10	4	0	0.333333	0	1	42.8205	69
10	4	0	0.333333	0	1	38.6765	70
10	4	0	0.333333	0	1	44.8149	71
10	4	0	0.333333	0	1	43.0656	72
10	4	0	0.333333	0	1	40.6765	73
10	4	0	0.333333	0	1	38.4246	74
10	4	0	0.333333	0	1	36.6081	75
10	4	0	0.333333	0	1	34.862	76
10	5	0	0.333333	0	1	41.5756	77
10	5	0	0	0	0	37.4219	78
