ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.715353	0.954981	2739800
0.475767	0.773405	0.73584	2111090
0.56576	1	0.888009	2547660
1	0.171308	0.473546	1358580
1	0.00508626	0.0319479	91657
1	0.411043	0.776483	2227700
0.779175	0.0512232	0.168471	483336
1	0.118226	0.370657	1063400
0.500129	1	0.846663	2429040
0.73485	0.0598336	0.181339	520254
0.692482	0.099227	0.252714	725024
0.357008	0.217666	0.276237	792513
1	1	1	2868960
0.524992	0.0818835	0.178265	511434
0.583611	1	0.897898	2576030
0.334506	0.757244	0.60113	1724620
0.546284	1	0.876576	2514860
0.254032	1	0.602131	1727490
0.631633	1	0.921835	2644700
1	0.389847	0.757083	2172040
1	1	1	2868960
0.0983292	0.0570263	0.0346741	99478.4
0.538713	0.734068	0.762323	2187070
1	0.746645	0.964789	2767940
0.651868	0.753614	0.840436	2411170
0.207331	0.455894	0.317489	910863
0.700706	0.0292579	0.100195	287455
0.623098	0.726119	0.811273	2327510
0.640021	0.726958	0.821264	2356170
0.593985	0.0309598	0.091874	263582
0.2	1	0.521888	1497270
0.424963	1	0.788626	2262530
1	1	1	2868960
1	0.20491	0.529729	1519770
0.650593	0.20491	0.401945	1153160
1	0.378126	0.745864	2139850
0.552042	0.392639	0.548168	1572670
1	0.392639	0.759704	2179560
0.24871	0.610792	0.438179	1257120
1	0.659134	0.93388	2679260
1	1	1	2868960
1	0.720781	0.956779	2744960
0.449947	0.55031	0.59325	1702010
0.424242	1	0.788009	2260760
1	1	1	2868960
0.101294	0.352068	0.154549	443393
0.941092	0.604301	0.889677	2552440
0.881823	0.496776	0.799641	2294130
0.275612	0.691358	0.506446	1452970
0.999852	1	1	2868950
0.867649	0.0592397	0.203959	585150
1	0.0447805	0.183868	527509
1	0.0669711	0.248027	711579
0.81658	0.0766468	0.236031	677164
0.499392	1	0.846152	2427570
1	0.162585	0.45793	1313780
1	0.282637	0.639775	1835490
0.324826	0.801584	0.610745	1752200
1	1	1	2868950
0.854763	0.332763	0.642039	1841980
0.0849865	0.439746	0.160209	459633
0.653185	0.577908	0.745236	2138050
0.0684148	0.577908	0.167264	479872
0.435308	0.771509	0.702286	2014830
0.676108	0.771509	0.861101	2470460
0.482623	1	0.834223	2393350
1	0.810671	0.980825	2813940
1	0.0897941	0.306219	878529
0.459668	0.478839	0.553271	1587310
0.681696	0.436442	0.658196	1888340
0.64882	0.612576	0.764173	2192380
0.398429	0.788917	0.678104	1945450
0.238432	0.270584	0.241344	692404
0.0304549	0.25094	0.0448915	128792
0.459237	0.432932	0.519983	1491810
0.163529	1	0.459642	1318690
0.0506202	0.776066	0.166446	477526
0.467266	0.574198	0.621293	1782460
1	0.785468	0.975139	2797630
1	0.59279	0.902769	2590000
0.65076	0.358332	0.572689	1643020
0.513474	0.0683717	0.152693	438070
1	9.49018e-07	1.41098e-05	40.4805
0.516468	0.0332256	0.0869181	249364
0.129417	1	0.394037	1130480
1	0.471011	0.825623	2368680
0.00158025	0.202171	0.00289091	8293.9
0.527661	1	0.864995	2481630
1	0.309542	0.67253	1929460
1	0.442146	0.802988	2303740
0.606697	0.725223	0.801224	2298670
0.369904	0.718649	0.618029	1773100
0.609938	1	0.91149	2615020
1	0.6665	0.936909	2687950
0.0340906	0.374582	0.0684545	196393
0.200163	1	0.52215	1498030
1	1	1	2868960
0.32598	1	0.691378	1983530
0.446594	0.659443	0.654523	1877800
1	0.719791	0.956454	2744020
0.152884	0.300255	0.187344	537481
0.0708327	0.187099	0.0705516	202409
0.185383	0.310073	0.221668	635955
0.0463417	0.559203	0.120579	345935
0.195541	0.368479	0.261577	750454
0.105432	0.387598	0.171531	492115
1	0.0248359	0.116616	334566
0.010086	0.0726933	0.00602539	17286.6
0.220865	0.03835	0.0488832	140244
0.121758	0.154582	0.0935951	268520
0.398661	0.578703	0.569063	1632610
0.627242	0.542001	0.706758	2027660
0.347969	0.702298	0.588716	1689000
1	0.465055	0.821101	2355700
1	0.465055	0.821101	2355700
0.625387	1	0.918934	2636380
1	1	1	2868960
1	1	1	2868960
0.0577915	1	0.22255	638486
1	1	1	2868960
0.409701	0.655659	0.621715	1783670
0.0407637	0.399862	0.0833998	239270
0.52003	0.399862	0.534512	1533490
1	0.399862	0.76639	2198740
0.0535364	0.264168	0.0743697	213363
0.354797	0.264168	0.315611	905473
0.524917	0.264168	0.412627	1183810
0.618706	0.138368	0.296033	849307
0.645532	0.089193	0.221938	636730
0.341685	0.00102017	0.00312381	8962.07
0.723064	0.00340869	0.0172669	49538
1	0.248352	0.594283	1704970
0.062113	0.806308	0.200033	573886
0.115302	0.26568	0.137411	394225
0.141559	0.11925	0.0857817	246104
1	0.640791	0.925976	2656580
0.0965767	1	0.322317	924712
0.375124	0.351128	0.39872	1143910
1	0.351128	0.71862	2061690
1	0.356166	0.723857	2076710
1	0.547454	0.877282	2516880
0.0185051	0.269334	0.0314071	90105.4
0.114052	0.269334	0.137707	395074
0.317541	0.208602	0.246046	705895
0.635833	0.214303	0.407854	1170110
1	0.320266	0.684922	1965010
0.157728	0.121161	0.0947405	271806
0.0666356	0.744205	0.198558	569655
0.406804	1	0.772693	2216820
0.131507	1	0.398296	1142690
0.368766	1	0.736644	2113400
0.277972	1	0.633841	1818460
1	1	1	2868960
0.141168	1	0.417548	1197930
0.316905	1	0.681078	1953980
0.341305	0.473453	0.456123	1308600
0.25184	0.812757	0.529373	1518750
0.00127418	0.465345	0.00499868	14341
0.0172013	0.813242	0.0737139	211482
0.196107	0.813952	0.452519	1298260
0.227976	0.644077	0.428528	1229430
0.717602	1	0.955731	2741950
0.528432	0.34819	0.49547	1421480
0.318708	0.519123	0.463107	1328630
0.127639	0.533261	0.250975	720036
0.0499871	0.740863	0.159094	456433
0.0173094	0.728854	0.0677831	194467
0.05371	0.726182	0.165534	474910
0.0904454	1	0.307787	883026
0.369286	1	0.737163	2114890
1	0.675181	0.940375	2697890
0.549722	1	0.878644	2520790
0.343885	1	0.710965	2039730
0.269346	0.677617	0.492957	1414270
0.346987	1	0.714262	2049180
1	1	1	2868960
0.0148197	0.731721	0.0599033	171860
0.746619	0.163805	0.379286	1088150
0.603128	0.188631	0.361055	1035850
0.407956	1	0.773727	2219790
0.640316	1	0.925765	2655980
0.314095	0.432769	0.407195	1168220
1	0.402858	0.769124	2206580
0.537176	0.111104	0.22791	653864
1	0.0145826	0.0762366	218719
0.281739	0.0314456	0.0507317	145547
0.204815	0.0369703	0.0445486	127808
0.20751	0.68332	0.418775	1201450
1	1	1	2868960
