unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
0	0	0	0	0	0	nan	1
0	0	0	0	0	0	nan	2
0	0	0	0	0	0	nan	3
0	0	0	0	0	0	nan	4
0	0	0	0	0	0	nan	5
0	0	0	0.333333	0	1	nan	6
1	0	0	0.333333	0	1	nan	7
1	0	0	0.333333	0	1	-3.23178	8
2	0	0	0.333333	0	1	-2.99111	9
2	0	0	0.333333	0	1	-2.99111	10
2	0	0	0.333333	0	1	-2.99111	11
2	0	0	0.333333	0	1	-3.39538	12
2	1	0	0.333333	0	1	0.0153987	13
2	1	0	0.333333	0	1	1.22855	14
4	2	0	0.333333	0	1	1.93683	15
4	2	0	0.333333	0	1	10.4011	16
5	2	0	0.666667	0	2	15.5124	17
5	2	0	0.666667	0	2	13.2242	18
5	4	0	0.666667	0	2	11.3041	19
5	4	0	0.666667	0	2	23.6775	20
5	4	0	0.666667	0	2	22.9407	21
5	4	0	0.666667	0	2	24.1854	22
6	4	0	0.666667	0	2	24.6915	23
6	4	0	0.666667	0	2	30.3314	24
6	4	0	0.666667	0	2	27.2064	25
6	4	0	0.666667	0	2	30.4995	26
6	4	0	0.666667	0	2	30.0468	27
6	4	0	0.666667	0	2	26.6167	28
6	4	0	0.666667	0	2	26.919	29
6	4	0	0.666667	0	2	29.4387	30
6	4	0	0.666667	0	2	21.3774	31
6	4	0	0.666667	0	2	25.275	32
6	4	0	0.666667	0	2	22.2257	33
6	4	0	0.666667	0	2	28.8123	34
6	4	0	0.666667	0	2	23.5522	35
6	4	0	0.666667	0	2	28.4945	36
6	4	0	0.666667	0	2	26.0925	37
6	4	0	0.666667	0	2	28.3435	38
6	4	0	0.666667	0	2	27.5536	39
6	4	0	0.666667	0	2	32.7588	40
6	4	0	0.666667	0	2	32.7365	41
6	4	0	0.666667	0	2	30.6127	42
7	4	0	0.666667	0	2	31.4668	43
7	4	0	0.666667	0	2	23.8621	44
7	4	0	0.666667	0	2	34.0652	45
7	4	0	0.666667	0	2	36.7788	46
7	5	0	0.666667	0	2	33.8294	47
7	5	0	0.333333	0	1	37.923	48
8	5	0	0.333333	0	1	31.9769	49
