ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.0322592	1	0.143036	410363
0.0448853	0.43502	0.0963803	276511
0.103189	1	0.337551	968418
0.17106	1	0.473108	1357320
1	0.231026	0.569531	1633960
0.613045	0.390445	0.581594	1668570
0.155427	0.0768116	0.0648025	185915
0.560552	1	0.885018	2539080
1	1	1	2868960
0.366	0.0917254	0.147516	423216
0.177675	0.0279988	0.0313574	89962.9
1	0.0257305	0.119906	344005
0.322815	0.669921	0.547414	1570510
0.208791	0.622378	0.395121	1133580
0.5	1	0.846574	2428780
1	1	1	2868960
1	1	1	2868960
1	1	1	2868960
0.0296899	0.250779	0.0439299	126033
0.637427	0.225587	0.422667	1212610
0.285714	0.142857	0.171374	491665
1	1	1	2868960
0.559441	1	0.884374	2537230
0.252991	0.371481	0.316215	907208
0.580267	0.696516	0.770311	2209990
0.634783	1	0.923274	2648830
0.0457996	0.708599	0.143702	412276
0.289371	1	0.648205	1859670
1	0.0333333	0.146707	420895
0.242424	0.0242424	0.0360652	103469
0.296362	0.65266	0.511194	1466590
1	0.230769	0.569155	1632880
0.588899	0.0668731	0.166759	478425
0.318504	0.703564	0.55926	1604490
1	0.840469	0.986538	2830330
0.0162433	0.4048	0.0396124	113646
0.2983	0.580184	0.476643	1367470
0.0330484	0.1903	0.0381681	109503
0.133308	0.446861	0.227594	652956
1	0.134859	0.405052	1162080
1	0.56831	0.889455	2551810
0.149117	1	0.432889	1241940
0.412587	0.265734	0.352002	1009880
0.224942	0.102564	0.11003	315670
0.464315	0.378126	0.481011	1380000
0.0967742	1	0.322778	926036
1	0.357422	0.725151	2080430
0.380212	0.577086	0.552221	1584300
1	1	1	2868960
1	1	1	2868960
1	0.799756	0.97846	2807160
0.668867	1	0.937865	2690690
0.529165	0.322726	0.472605	1355880
0.664315	0.634612	0.78572	2254200
0.329263	0.0860752	0.129334	371053
1	1	1	2868960
0.573959	0.347255	0.520776	1494080
1	0.639775	0.925523	2655280
0.654135	0.203845	0.402005	1153330
0.731864	0.766613	0.88531	2539910
1	0.784341	0.974866	2796850
0.761424	0.59573	0.812191	2330140
0.520323	0.437951	0.564894	1620660
0.406372	0.243629	0.32796	940903
0.363488	0.307662	0.356828	1023720
0.388554	0.307662	0.373462	1071450
0.497618	1	0.844917	2424030
0.664122	0.327257	0.549062	1575230
0.0654917	1	0.244011	700057
1	0.208385	0.53521	1535490
0.215773	0.458968	0.328027	941095
0.700409	0.527528	0.737361	2115460
0.67365	0.82095	0.880615	2526450
0.53816	0.443792	0.580837	1666400
0.605594	1	0.909327	2608820
1	0.725669	0.958363	2749500
0.747635	0.667285	0.8458	2426560
1	1	1	2868960
1	1	1	2868960
1	1	1	2868960
0.269231	1	0.622512	1785960
0.206793	0.6004	0.383178	1099320
1	1	1	2868960
0.21687	1	0.548347	1573180
0.312544	0.722393	0.561784	1611730
0.678023	1	0.941485	2701080
0.0438416	0.505085	0.106516	305589
0.107256	1	0.346709	994692
1	1	1	2868960
0.385056	0.768542	0.656266	1882800
1	0.523325	0.862206	2473630
0.493765	0.00510918	0.0176148	50536
0.407338	0.188058	0.273406	784389
1	1	1	2868950
0.00755469	1	0.0444638	127565
1	1	1	2868960
1	0.443017	0.803698	2305770
0.249498	1	0.595878	1709550
0.58495	1	0.898617	2578090
1	0.242424	0.585955	1681080
1	0.242424	0.585955	1681080
0.575758	0.242424	0.414425	1188970
1	0.242424	0.585955	1681080
0.19697	0.242424	0.192996	553695
0.5	0.242424	0.376996	1081580
1	0.242424	0.585955	1681080
0.454545	0.242424	0.353226	1013390
0.454545	0.242424	0.353226	1013390
0.399263	0.389575	0.444982	1276630
0.692331	0.601632	0.781324	2241580
0.223521	0.237033	0.208633	598558
0.0175049	0.0639669	0.00872794	25040.1
0.53073	0.0216962	0.0629183	180510
1	0.224793	0.560314	1607510
0.0430666	0.648905	0.127923	367005
