unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
0	0	0	0	0	0	nan	1
0	0	0	0	0	0	nan	2
0	0	0	0	0	0	nan	3
0	0	0	0	0	0	nan	4
0	1	0	0	0	0	nan	5
1	1	0	0	0	0	-3.19286	6
1	1	0	0	0	0	-3.19286	7
1	1	0	0	0	0	0.781723	8
1	1	0	0	0	0	-1.88247	9
1	1	0	0	0	0	0.682698	10
1	1	0	0	0	0	0.682698	11
1	1	0	0	0	0	0.85157	12
2	1	0	0	0	0	0.62353	13
2	1	0	0	0	0	0.62353	14
2	1	0	0	0	0	0.253753	15
3	1	0	0	0	0	5.07373	16
4	1	0	0	0	0	7.93533	17
4	1	0	0	0	0	12.788	18
5	1	0	0	0	0	13.1278	19
5	1	0	0	0	0	14.7064	20
6	1	0	0	0	0	17.1641	21
7	1	0	0	0	0	17.8598	22
8	1	0	0	0	0	21.1308	23
8	2	0	0	0	0	28.7154	24
8	2	0	0	0	0	32.4617	25
8	2	0	0	0	0	28.3319	26
8	2	0	0	0	0	27.3368	27
8	2	0	0	0	0	28.2909	28
8	2	0	0	0	0	31.3496	29
9	2	0	0	0	0	28.7554	30
10	2	0	0	0	0	34.611	31
10	2	0	0	0	0	40.2968	32
10	2	0	0	0	0	31.887	33
11	2	0	0	0	0	36.2254	34
11	2	0	0	0	0	35.6273	35
11	2	0	0	0	0	39.6622	36
11	2	0	0	0	0	37.2601	37
11	2	0	0	0	0	41.4952	38
11	2	0	0	0	0	42.4014	39
11	2	0	0	0	0	39.0055	40
11	2	0	0	0	0	42.7152	41
11	2	0	0	0	0	34.8719	42
11	2	0	0	0	0	42.4916	43
11	2	0	0	0	0	37.7046	44
11	3	0	0	0	0	35.3878	45
11	3	0	0	0	0	42.3422	46
11	3	0	0	0	0	46.3914	47
11	3	0	0	0	0	44.4354	48
11	3	0	0	0	0	37.6629	49
11	3	0	0	0	0	39.9685	50
11	3	0	0	0	0	48.0131	51
11	3	0	0	0	0	39.1065	52
11	3	0	0	0	0	40.0728	53
11	3	0	0	0	0	43.0234	54
11	4	0	0	0	0	44.2944	55
11	4	0	0	0	0	45.5434	56
