unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
3	1	0	0	0	0	nan	1
3	1	0	0	0	0	nan	2
3	1	0	0	0	0	nan	3
3	2	0	0	0	0	5.42748	4
3	2	0	0	0	0	10.4786	5
3	2	0	0	0	0	10.1096	6
3	3	0	0	0	0	6.73304	7
3	3	0	0	0	0	11.9034	8
3	3	0	0	0	0	14.0285	9
3	3	0	0	0	0	13.045	10
3	3	0	0	0	0	14.3974	11
3	4	0	0	0	0	15.756	12
3	4	0	0	0	0	13.9733	13
3	7	0	0	0	0	17.0877	14
3	7	0	0	0	0	28.5318	15
3	7	0	0	0	0	25.86	16
3	7	0	0	0	0	29.5457	17
3	7	0	0	0	0	27.6762	18
3	7	0	0	0	0	29.4691	19
3	7	0	0	0	0	31.3323	20
3	7	0	0	0	0	31.1225	21
3	7	0	0	0	0	31.354	22
3	7	0	0	0	0	29.8771	23
3	7	0	0	0	0	28.844	24
3	7	0	0	0	0	32.8495	25
3	8	0	0	0	0	30.9805	26
3	8	0	0	0	0	31.4577	27
3	8	0	0	0	0	29.105	28
3	8	0	0	0	0	30.6352	29
3	8	0	0	0	0	29.4051	30
3	8	0	0	0	0	33.6632	31
3	8	0	0	0	0	32.2403	32
3	8	0	0	0	0	35.6793	33
4	8	0	0	0	0	29.6434	34
4	8	0	0	0	0	37.2289	35
4	8	0	0	0	0	38.0458	36
4	8	0	0	0	0	40.1337	37
4	8	0	0	0	0	37.1248	38
4	8	0	0	0	0	33.5241	39
5	8	0	0	0	0	39.0313	40
5	8	0	0	0	0	38.7843	41
6	8	0	0	0	0	37.9972	42
6	8	0	0	0	0	42.9027	43
6	8	0	0	0	0	42.3602	44
6	8	0	0	0	0	46.7203	45
6	9	0	0	0	0	49.023	46
6	9	0	0	0	0	48.4414	47
6	9	0	0	0	0	42.0746	48
6	9	0	0	0	0	44.712	49
6	9	0	0	0	0	50.5121	50
6	9	0	0	0	0	48.4414	51
6	9	0	0	0	0	49.3068	52
6	9	0	0	0	0	42.9624	53
6	10	0	0	0	0	47.8765	54
6	10	0	0	0	0	46.0858	55
6	10	0	0	0	0	49.5629	56
6	10	0	0	0	0	46.7819	57
6	10	0	0	0	0	51.1827	58
6	12	0	0	0	0	54.4733	59
6	12	0	0	0	0	52.791	60
6	12	0	0	0	0	60.0074	61
6	12	0	0	0	0	58.8965	62
6	12	0	0	0	0	57.6983	63
6	12	0	0	0	0	58.5973	64
6	12	0	0	0	0	50.9658	65
6	12	0	0	0	0	61.4798	66
6	12	0	0	0	0	63.3752	67
6	12	0	0	0	0	59.5115	68
6	12	0	0	0	0	58.2914	69
6	13	0	0	0	0	61.7815	70
6	13	0	0	0	0	61.8627	71
6	13	0	0	0	0	57.0423	72
6	13	0	0	0	0	61.8046	73
6	13	0	0	0	0	61.8261	74
6	13	0	0	0	0	61.8452	75
6	13	0	0	0	0	61.1314	76
6	13	0	0	0	0	64.6069	77
6	13	0	0	0	0	65.9324	78
6	13	0	0	0	0	63.2277	79
6	13	0	0	0	0	64.8081	80
6	13	0	0	0	0	64.3773	81
6	13	0	0	0	0	60.2806	82
6	13	0	0	0	0	63.0758	83
6	13	0	0	0	0	65.3791	84
6	13	0	0	0	0	65.977	85
6	13	0	0	0	0	60.6061	86
6	13	0	0	0	0	68.7731	87
6	13	0	0	0	0	55.0924	88
6	13	0	0	0	0	61.9572	89
6	13	0	0	0	0	59.4091	90
6	13	0	0	0	0	61.547	91
6	12	0	0	0	0	59.5115	92
6	12	0	0	0	0	54.7636	93
6	12	0	0	0	0	64.7849	94
6	12	0	0	0	0	59.1456	95
6	12	0	0	0	0	59.5881	96
7	12	0	0	0	0	52.5923	97
7	11	0	0	0	0	58.2285	98
8	11	0	0	0	0	58.7079	99
8	11	0	0	0	0	61.6401	100
9	11	0	0	0	0	63.1773	101
9	11	0	0	0	0	65.3569	102
9	11	0	0	0	0	64.8778	103
9	11	0	0	0	0	64.2431	104
9	11	0	0	0	0	59.5358	105
9	11	0	0	0	0	61.2384	106
9	12	0	0	0	0	69.0281	107
9	12	0	0	0	0	72.0405	108
10	12	0	0	0	0	73.8647	109
10	12	0	0	0	0	65.321	110
10	11	0	0	0	0	70.6399	111
10	11	0	0	0	0	64.7671	112
10	13	0	0	0	0	71.1093	113
11	13	0	0	0	0	76.1301	114
11	14	0	0	0	0	79.967	115
11	14	0	0	0	0	82.3712	116
11	14	0	0	0	0	78.5151	117
11	14	0	0	0	0	80.9223	118
11	14	0	0	0	0	83.0281	119
12	14	0	0	0	0	68.3565	120
12	15	0	0	0	0	79.6038	121
11	14	0	0	0	0	78.5919	122
11	15	0	0	0	0	84.2461	123
11	15	0	0	0	0	83.8532	124
11	15	0	0	0	0	88.5304	125
11	15	0	0	0	0	87.9736	126
11	15	0	0	0	0	87.8048	127
11	16	0	0	0	0	89.2833	128
11	16	0	0	0	0	84.3855	129
11	16	0	0	0	0	88.2224	130
11	16	0	0	0	0	89.0462	131
11	16	0	0	0	0	93.3505	132
11	17	0	0	0	0	88.091	133
11	17	0	0	0	0	83.3632	134
11	17	0	0	0	0	85.0862	135
11	17	0	0	0	0	94.6919	136
11	16	0	0	0	0	89.4945	137
11	16	0	0	0	0	86.9826	138
11	16	0	0	0	0	88.7082	139
11	16	0	0	0	0	79.7134	140
11	16	0	0	0	0	80.4493	141
8	16	0	0	0	0	82.2997	142
8	16	0	0	0	0	77.4645	143
8	16	0	0	0	0	69.1743	144
10	16	0	0	0	0	74.1785	145
10	15	0	0	0	0	72.7378	146
10	15	0	0	0	0	77.3745	147
10	15	0	0	0	0	77.769	148
10	15	0	0	0	0	84.3373	149
10	15	0	0	0	0	84.4556	150
10	15	0	0	0	0	81.7595	151
10	15	0	0	0	0	84.7554	152
10	15	0	0	0	0	81.5838	153
10	14	0	0	0	0	80.4625	154
10	14	0	0	0	0	78.3822	155
10	14	0	0	0	0	85.3583	156
10	14	0	0	0	0	71.2887	157
10	14	0	0	0	0	80.1396	158
10	15	0	0	0	0	79.7002	159
10	15	0	0	0	0	82.9697	160
10	15	0	0	0	0	78.6269	161
11	15	0	0	0	0	85.6815	162
11	15	0	0	0	0	79.1715	163
11	13	0	0	0	0	83.7151	164
11	13	0	0	0	0	79.4512	165
11	13	0	0	0	0	77.0208	166
10	14	0	0	0	0	82.0762	167
10	15	0	0	0	0	70.0692	168
10	15	0	0	0	0	82.5711	169
13	15	0	0	0	0	82.8582	170
13	15	0	0	0	0	86.665	171
13	15	0	0	0	0	95.4219	172
13	15	0	0	0	0	97.1566	173
13	15	0	0	0	0	88.6207	174
13	14	0	0	0	0	88.5411	175
13	14	0	0	0	0	92.2738	176
13	14	0	0	0	0	91.0286	177
13	14	0	0	0	0	87.3181	178
13	14	0	0	0	0	83.8668	179
13	14	0	0	0	0	90.0512	180
13	14	0	0	0	0	89.7052	181
14	13	0	0	0	0	85.4714	182
14	13	0	0	0	0	81.7309	183
13	13	0	0	0	0	84.0782	184
13	13	0	0	0	0	84.3231	185
13	13	0	0	0	0	87.5161	186
13	13	0	0	0	0	80.6383	187
13	13	0	0	0	0	81.9874	188
13	13	0	0	0	0	85.5697	189
13	13	0	0	0	0	87.1973	190
15	13	0	0	0	0	82.1148	191
15	14	0	0	0	0	90.0601	192
15	14	0	0	0	0	92.5618	193
15	14	0	0	0	0	94.3274	194
15	14	0	0	0	0	95.2475	195
15	13	0	0	0	0	86.1433	196
15	11	0	0	0	0	88.5494	197
15	10	0	0	0	0	90.6493	198
15	10	0	0	0	0	88.0372	199
15	10	0	0	0	0	87.1655	200
16	10	0	0	0	0	82.0481	201
16	10	0	0	0	0	89.4217	202
16	10	0	0	0	0	78.2491	203
16	8	0	0	0	0	80.2648	204
16	8	0	0	0	0	74.3225	205
17	8	0	0	0	0	77.2286	206
17	8	0	0	0	0	83.7658	207
17	8	0	0	0	0	76.9777	208
17	8	0	0	0	0	77.1756	209
17	8	0	0	0	0	79.2851	210
17	8	0	0	0	0	82.9213	211
17	8	0	0	0	0	83.4078	212
17	8	0	0	0	0	78.7468	213
17	8	0	0	0	0	81.815	214
17	8	0	0	0	0	70.97	215
16	8	0	0	0	0	82.2058	216
16	8	0	0	0	0	70.8413	217
16	8	0	0	0	0	69.9894	218
16	8	0	0	0	0	87.2961	219
17	8	0	0	0	0	82.5231	220
17	8	0	0	0	0	81.6109	221
17	8	0	0	0	0	80.543	222
20	8	0	0	0	0	89.2579	223
20	8	0	0	0	0	85.9928	224
20	8	0	0	0	0	85.694	225
20	8	0	0	0	0	94.7424	226
20	8	0	0	0	0	85.983	227
20	7	0	0	0	0	89.7802	228
20	7	0	0	0	0	92.3346	229
20	7	0	0	0	0	89.5086	230
20	7	0	0	0	0	88.0876	231
20	7	0	0	0	0	78.4464	232
20	8	0	0	0	0	96.1919	233
20	8	0	0	0	0	91.7296	234
20	8	0	0	0	0	77.5843	235
20	8	0	0	0	0	94.4217	236
20	7	0	0	0	0	94.6519	237
20	7	0	0	0	0	75.0448	238
21	7	0	0	0	0	73.8264	239
22	7	0	0	0	0	91.4694	240
22	7	0	0	0	0	93.2769	241
22	7	0	0	0	0	98.588	242
22	7	0	0	0	0	85.1773	243
22	7	0	0	0	0	92.4116	244
20	7	0	0	0	0	95.4735	245
20	7	0	0	0	0	88.7631	246
19	7	0	0	0	0	83.711	247
19	7	0	0	0	0	89.7408	248
19	7	0	0	0	0	90.8159	249
19	7	0	0	0	0	88.8829	250
19	7	0	0	0	0	77.6955	251
19	7	0	0	0	0	80.2597	252
19	6	0	0	0	0	84.386	253
19	6	0	0	0	0	85.6184	254
20	6	0	0	0	0	78.828	255
21	6	0	0	0	0	83.7879	256
21	5	0	0	0	0	91.2255	257
21	5	0	0	0	0	87.3303	258
21	5	0	0	0	0	83.1591	259
21	5	0	0	0	0	88.7358	260
