SNP	17	59	NODE_12_length_62125_cov_10.973746	62120	T	aa_new_seq=S	aa_position=3	aa_ref_seq=R	codon_new_seq=AGC	codon_number=3	codon_position=1	codon_position_is_indeterminate=1	codon_ref_seq=CGC	gene_name=pgaptmp_000226	gene_position=6	gene_product=MSCRAMM family adhesin SdrC	gene_strand=<	genes_overlapping=pgaptmp_000226	locus_tag=pgaptmp_000226	locus_tags_overlapping=pgaptmp_000226	mutation_category=snp_nonsynonymous	position_end=62120	position_start=62120	ref_seq=G	snp_type=nonsynonymous	transl_table=11																																				
SNP	18	65	NODE_17_length_52183_cov_10.311749	11239	T	aa_new_seq=K	aa_position=86	aa_ref_seq=R	codon_new_seq=AAA	codon_number=86	codon_position=2	codon_ref_seq=AGA	gene_name=sarX	gene_position=257	gene_product=HTH-type transcriptional regulator SarX	gene_strand=<	genes_overlapping=sarX	locus_tag=pgaptmp_000459	locus_tags_overlapping=pgaptmp_000459	mutation_category=snp_nonsynonymous	position_end=11239	position_start=11239	ref_seq=C	snp_type=nonsynonymous	transl_table=11																																					
SNP	19	66	NODE_17_length_52183_cov_10.311749	22595	T	aa_new_seq=*	aa_position=158	aa_ref_seq=W	codon_new_seq=TAG	codon_number=158	codon_position=2	codon_ref_seq=TGG	gene_name=graS	gene_position=473	gene_product=histidine kinase GraS/ApsS	gene_strand=<	genes_inactivated=graS	locus_tag=pgaptmp_000467	locus_tags_inactivated=pgaptmp_000467	mutation_category=snp_nonsense	position_end=22595	position_start=22595	ref_seq=C	snp_type=nonsense	transl_table=11																																					
SNP	20	68	NODE_19_length_47455_cov_8.886065	13731	T	aa_new_seq=K	aa_position=389	aa_ref_seq=E	codon_new_seq=AAA	codon_number=389	codon_position=1	codon_ref_seq=GAA	gene_name=femB	gene_position=1165	gene_product=glycine glycyltransferase FemB	gene_strand=<	genes_overlapping=femB	locus_tag=pgaptmp_000565	locus_tags_overlapping=pgaptmp_000565	mutation_category=snp_nonsynonymous	position_end=13731	position_start=13731	ref_seq=C	snp_type=nonsynonymous	transl_table=11																																					
SNP	22	78	NODE_26_length_30468_cov_12.184792	17320	T	aa_new_seq=V	aa_position=505	aa_ref_seq=G	codon_new_seq=GTT	codon_number=505	codon_position=2	codon_ref_seq=GGT	gene_name=pgaptmp_001164	gene_position=1514	gene_product=acetyltransferase	gene_strand=>	genes_overlapping=pgaptmp_001164	locus_tag=pgaptmp_001164	locus_tags_overlapping=pgaptmp_001164	mutation_category=snp_nonsynonymous	position_end=17320	position_start=17320	ref_seq=G	snp_type=nonsynonymous	transl_table=11																																					
SNP	23	79	NODE_26_length_30468_cov_12.184792	30357	G	gene_name=pgaptmp_001174/pgaptmp_001175	gene_position=intergenic (-63/+38)	gene_product=heavy metal translocating P-type ATPase/hypothetical protein	gene_strand=</<	genes_promoter=pgaptmp_001174	locus_tag=pgaptmp_001174/pgaptmp_001175	locus_tags_promoter=pgaptmp_001174	mutation_category=snp_intergenic	position_end=30357	position_start=30357	ref_seq=A	snp_type=intergenic																																													
SNP	24	81	NODE_29_length_22216_cov_8.137676	20669	A	aa_new_seq=G	aa_position=66	aa_ref_seq=G	codon_new_seq=GGA	codon_number=66	codon_position=3	codon_ref_seq=GGG	gene_name=splF	gene_position=198	gene_product=serine protease SplF	gene_strand=>	genes_overlapping=splF	locus_tag=pgaptmp_001259	locus_tags_overlapping=pgaptmp_001259	mutation_category=snp_synonymous	position_end=20669	position_start=20669	ref_seq=G	snp_type=synonymous	transl_table=11																																					
SNP	25	82	NODE_29_length_22216_cov_8.137676	20702	C	aa_new_seq=T	aa_position=77	aa_ref_seq=T	codon_new_seq=ACC	codon_number=77	codon_position=3	codon_ref_seq=ACT	gene_name=splF	gene_position=231	gene_product=serine protease SplF	gene_strand=>	genes_overlapping=splF	locus_tag=pgaptmp_001259	locus_tags_overlapping=pgaptmp_001259	mutation_category=snp_synonymous	position_end=20702	position_start=20702	ref_seq=T	snp_type=synonymous	transl_table=11																																					
DEL	26	250	NODE_34_length_16127_cov_47.797508	1	16127	gene_name=[pgaptmp_001647]–pgaptmp_001662	gene_product=[pgaptmp_001647],vanR,pgaptmp_001649,pgaptmp_001650,pgaptmp_001651,vanA,pgaptmp_001653,vanY,vanZ,pgaptmp_001656,pgaptmp_001657,pgaptmp_001658,pgaptmp_001659,pgaptmp_001660,pgaptmp_001661,pgaptmp_001662	genes_inactivated=pgaptmp_001647,vanR,pgaptmp_001649,pgaptmp_001650,pgaptmp_001651,vanA,pgaptmp_001653,vanY,vanZ,pgaptmp_001656,pgaptmp_001657,pgaptmp_001658,pgaptmp_001659,pgaptmp_001660,pgaptmp_001661,pgaptmp_001662	locus_tag=[pgaptmp_001647]–[pgaptmp_001662]	locus_tags_inactivated=pgaptmp_001647,pgaptmp_001648,pgaptmp_001649,pgaptmp_001650,pgaptmp_001651,pgaptmp_001652,pgaptmp_001653,pgaptmp_001654,pgaptmp_001655,pgaptmp_001656,pgaptmp_001657,pgaptmp_001658,pgaptmp_001659,pgaptmp_001660,pgaptmp_001661,pgaptmp_001662	mutation_category=large_deletion	position_end=16127	position_start=1	ref_seq=16127-bp																																																
DEL	27	252	NODE_39_length_10311_cov_43.301446	1	10311	gene_name=pgaptmp_001729–pgaptmp_001741	gene_product=pgaptmp_001729,pgaptmp_001730,pgaptmp_001731,pgaptmp_001732,pgaptmp_001733,pgaptmp_001734,pgaptmp_001735,pgaptmp_001736,pgaptmp_001737,pgaptmp_001738,pgaptmp_001739,pgaptmp_001740,pgaptmp_001741	genes_inactivated=pgaptmp_001729,pgaptmp_001730,pgaptmp_001731,pgaptmp_001732,pgaptmp_001733,pgaptmp_001734,pgaptmp_001735,pgaptmp_001736,pgaptmp_001737,pgaptmp_001738,pgaptmp_001739,pgaptmp_001740,pgaptmp_001741	locus_tag=[pgaptmp_001729]–[pgaptmp_001741]	locus_tags_inactivated=pgaptmp_001729,pgaptmp_001730,pgaptmp_001731,pgaptmp_001732,pgaptmp_001733,pgaptmp_001734,pgaptmp_001735,pgaptmp_001736,pgaptmp_001737,pgaptmp_001738,pgaptmp_001739,pgaptmp_001740,pgaptmp_001741	mutation_category=large_deletion	position_end=10311	position_start=1	ref_seq=10311-bp																																																
SNP	28	88	NODE_3_length_232584_cov_11.958724	41009	A	aa_new_seq=H	aa_position=64	aa_ref_seq=R	codon_new_seq=CAT	codon_number=64	codon_position=2	codon_ref_seq=CGT	gene_name=pgaptmp_001773	gene_position=191	gene_product=putative cyclic bacteriocin	gene_strand=>	genes_overlapping=pgaptmp_001773	locus_tag=pgaptmp_001773	locus_tags_overlapping=pgaptmp_001773	mutation_category=snp_nonsynonymous	position_end=41009	position_start=41009	ref_seq=G	snp_type=nonsynonymous	transl_table=11																																					
