ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.481637	0.833504	2391290
1	0.265734	0.617901	1772730
0.303571	0.608392	0.496646	1424860
0.489011	0.608392	0.658184	1888300
0.174905	0.45373	0.280438	804565
0.282034	0.219656	0.234261	672083
0.635003	0.00404166	0.017876	51285.4
1	4.48539e-06	5.97215e-05	171.338
0.267343	0.845675	0.562238	1613040
0.42976	0.39942	0.474157	1360340
1	0.372931	0.740776	2125250
0.653758	0.483923	0.68046	1952210
0.375526	0.058272	0.105519	302730
1	0.00733033	0.0433643	124410
0.314625	1	0.678449	1946440
0.450145	0.105733	0.192524	552342
0.233992	0.0507905	0.0645631	185229
0.5	1	0.846574	2428780
0.154799	0.177797	0.126405	362651
0.625387	0.196809	0.380926	1092860
0.464286	0.55	0.603943	1732690
0.220067	0.692795	0.439217	1260090
0.627571	1	0.919955	2639310
0.615583	0.64582	0.76427	2192650
0.0291425	0.0893795	0.0181041	51939.8
1	0.0918024	0.311037	892352
1	0.677617	0.941327	2700630
0.220166	1	0.553359	1587560
0.25136	0.662246	0.464926	1333850
0.365385	0.299451	0.351507	1008460
0.00226244	0.161765	0.00326198	9358.48
1	0.196796	0.516706	1482410
0.347341	0.340129	0.370475	1062880
0.419458	1	0.783879	2248910
0.441982	0.274942	0.377644	1083440
0.0301849	0.694153	0.101946	292479
0.662734	0.694153	0.817233	2344610
0.477855	1	0.830726	2383320
1	0.521932	0.861301	2471030
0.216518	1	0.547808	1571640
0.28	0.48	0.404132	1159440
0.122483	1	0.37967	1089260
1	1	1	2868950
1	1	1	2868960
0.622866	0.73273	0.814388	2336440
0.137771	0.176987	0.114941	329759
0.640694	0.833804	0.869143	2493530
0.56542	0.192453	0.350182	1004660
0.290665	0.73271	0.542355	1555990
0.354927	0.125366	0.182983	524970
0.227611	1	0.564502	1619530
1	1	1	2868960
0.200452	0.264033	0.208468	598086
0.356531	0.4047	0.423622	1215350
1	0.0491139	0.197124	565540
0.0909091	0.242424	0.106115	304439
0.122172	1	0.379017	1087380
0.0538049	0.0987395	0.0331386	95073.2
0.469979	1	0.824845	2366440
0.938165	0.891779	0.985863	2828400
0.550663	0.278879	0.441295	1266060
0.0202512	0.117086	0.0167032	47920.6
0.627089	0.227923	0.420982	1207780
0.663189	0.786685	0.861164	2470640
0.156589	0.555504	0.299406	858982
1	0.370814	0.738682	2119240
0.170961	0.22882	0.16591	475988
1	0.372316	0.740169	2123510
0.13456	0.540875	0.263487	755932
0.00855202	0.0417351	0.00319015	9152.4
0.675614	0.101646	0.252607	724719
0.0681502	0.12392	0.0487637	139901
0.526559	0.518451	0.627425	1800060
0.179423	0.768856	0.41121	1179740
0.115765	0.563477	0.243299	698015
1	1	1	2868960
0.179793	0.793692	0.420539	1206510
0.486109	1	0.83675	2400600
1	0.63065	0.921382	2643400
0.735014	0.171674	0.387384	1111390
0.577421	0.769284	0.80466	2308530
1	0.26605	0.618319	1773930
0.21865	1	0.551059	1580960
1	0.576741	0.894157	2565300
0.612029	0.270583	0.463387	1329440
0.554856	0.0333498	0.092332	264896
0.656141	0.638023	0.783162	2246860
0.164137	0.80915	0.400935	1150260
1	0.459168	0.816557	2342660
0.439521	0.152207	0.24783	711012
1	1	1	2868960
1	1	1	2868960
1	1	1	2868960
0.254525	0.366516	0.314572	902492
1	1	1	2868960
0.531566	1	0.867477	2488750
0.121212	1	0.376996	1081580
1	1	1	2868950
0.541667	1	0.873765	2506790
1	1	1	2868950
0.464286	0.299451	0.413347	1185870
0.134091	0.596154	0.281904	808769
0.175	0.596154	0.340129	975816
0.322624	0.334842	0.34843	999630
0.335913	0.649917	0.550551	1579510
1	0.714143	0.954575	2738630
1	0.714143	0.954575	2738630
1	0.714143	0.954575	2738630
0.242095	0.69683	0.468922	1345320
0.471453	0.464673	0.5517	1582800
0.0371599	0.132241	0.0310355	89039.6
1	0.0248869	0.116805	335107
0.455928	0.493343	0.560516	1608100
0.430703	0.221998	0.320064	918250
0.237108	0.0591519	0.0738702	211930
0.286479	1	0.644603	1849340
1	1	1	2868960
0.0625	1	0.235787	676462
0.622378	1	0.917514	2632310
0.034965	1	0.152217	436704
0.454108	1	0.81259	2331290
1	0.637186	0.924362	2651950
0.175	0.61451	0.347341	996506
1	0.637186	0.924362	2651950
1	0.637186	0.924362	2651950
0.33515	0.637186	0.543251	1558560
0.0132459	0.223738	0.0202159	57998.4
0.597674	0.220057	0.398326	1142780
0.385303	0.50776	0.514825	1477010
0.0962533	1	0.32156	922542
0.469697	1	0.824632	2365830
0.575838	0.272496	0.447527	1283940
0.345498	0.60095	0.53402	1532080
0.635708	0.472692	0.661786	1898640
0.332817	0.649917	0.54748	1570700
0.176245	0.670626	0.37059	1063210
0.111877	0.670626	0.269342	772731
0.176245	0.670626	0.37059	1063210
0.176245	0.670626	0.37059	1063210
0.480599	1	0.832744	2389110
0.285714	1	0.643647	1846590
1	0.340644	0.707489	2029750
0.281147	1	0.637888	1830070
0.0060787	1	0.0370981	106433
0.0497422	1	0.199014	570962
0.502329	0.256254	0.392619	1126410
0.683281	0.257053	0.481133	1380350
0.608775	0.531054	0.688354	1974860
0.319653	0.531054	0.470795	1350690
0.328232	0.531054	0.478814	1373700
0.628408	1	0.920345	2640430
0.686937	0.760027	0.861405	2471330
1	0.54305	0.874611	2509220
1	0.475678	0.829113	2378690
1	1	1	2868960
0.390874	1	0.758049	2174810
0.663553	1	0.935707	2684500
0.51302	0.5867	0.66238	1900340
1	0.414236	0.77931	2235810
1	0.555218	0.881905	2530150
0.191918	0.652546	0.385418	1105750
0.61642	0.680786	0.784047	2249390
0.162582	0.680786	0.354308	1016490
0.0325756	1	0.144121	413476
0.263181	0.411692	0.349145	1001680
0.09319	0.413363	0.163968	470416
1	0.64472	0.927713	2661570
0.647431	1	0.928897	2664960
1	0.406419	0.772347	2215830
0.0806822	0.205513	0.0845557	242586
0.0675662	0.197478	0.0709409	203526
0.710628	0.25186	0.486909	1396920
1	0.549231	0.87835	2519950
0.296305	0.216931	0.240691	690531
1	1	1	2868960
0.585411	0.218548	0.391011	1121790
0.172101	0.163013	0.128311	368118
1	0.0344598	0.150519	431833
1	0.124166	0.383193	1099360
1	1	1	2868960
1	0.788338	0.975827	2799600
0.339576	0.21568	0.26469	759382
0.459901	0.368018	0.469905	1348140
0.14263	0.209461	0.13476	386620
1	1	1	2868960
0.0902357	1	0.307282	881579
1	0.330016	0.695876	1996440
0.22446	0.170447	0.163111	467958
0.305869	0.175996	0.211122	605700
0.0338992	0.387039	0.0699783	200765
